District,Date,Rainfall_1Day,Rainfall_3Day,Rainfall_7Day,Rainfall_7Day_Avg
Ariyalur,2020-01-01,1.8,1.8,1.8,1.8
Ariyalur,2020-01-02,1.8,3.6,3.6,1.8
Ariyalur,2020-01-03,1.4,5.0,5.0,1.67
Ariyalur,2020-01-04,1.5,4.7,6.5,1.62
Ariyalur,2020-01-05,2.1,5.0,8.6,1.72
Ariyalur,2020-01-06,1.0,4.6,9.6,1.6
Ariyalur,2020-01-07,1.8,4.9,11.4,1.63
Ariyalur,2020-01-08,0.3,3.1,9.9,1.41
Ariyalur,2020-01-09,0.0,2.1,8.1,1.16
Ariyalur,2020-01-10,0.1,0.4,6.8,0.97
Ariyalur,2020-01-11,0.1,0.2,5.4,0.77
Ariyalur,2020-01-12,0.2,0.4,3.5,0.5
Ariyalur,2020-01-13,0.0,0.3,2.5,0.36
Ariyalur,2020-01-14,0.0,0.2,0.7,0.1
Ariyalur,2020-01-15,0.0,0.0,0.4,0.06
Ariyalur,2020-01-16,0.0,0.0,0.4,0.06
Ariyalur,2020-01-17,0.4,0.4,0.7,0.1
Ariyalur,2020-01-18,3.0,3.4,3.6,0.51
Ariyalur,2020-01-19,0.7,4.1,4.1,0.59
Ariyalur,2020-01-20,0.1,3.8,4.2,0.6
Ariyalur,2020-01-21,0.0,0.8,4.2,0.6
Ariyalur,2020-01-22,0.0,0.1,4.2,0.6
Ariyalur,2020-01-23,0.6,0.6,4.8,0.69
Ariyalur,2020-01-24,0.0,0.6,4.4,0.63
Ariyalur,2020-01-25,0.0,0.6,1.4,0.2
Ariyalur,2020-01-26,0.0,0.0,0.7,0.1
Ariyalur,2020-01-27,0.0,0.0,0.6,0.09
Ariyalur,2020-01-28,0.0,0.0,0.6,0.09
Ariyalur,2020-01-29,0.0,0.0,0.6,0.09
Ariyalur,2020-01-30,0.0,0.0,0.0,0.0
Ariyalur,2020-01-31,0.0,0.0,0.0,0.0
Ariyalur,2020-02-01,0.2,0.2,0.2,0.03
Ariyalur,2020-02-02,0.0,0.2,0.2,0.03
Ariyalur,2020-02-03,0.0,0.2,0.2,0.03
Ariyalur,2020-02-04,0.1,0.1,0.3,0.04
Ariyalur,2020-02-05,1.2,1.3,1.5,0.21
Ariyalur,2020-02-06,0.0,1.3,1.5,0.21
Ariyalur,2020-02-07,0.0,1.2,1.5,0.21
Ariyalur,2020-02-08,0.0,0.0,1.3,0.19
Ariyalur,2020-02-09,0.0,0.0,1.3,0.19
Ariyalur,2020-02-10,0.0,0.0,1.3,0.19
Ariyalur,2020-02-11,0.8,0.8,2.0,0.29
Ariyalur,2020-02-12,2.3,3.1,3.1,0.44
Ariyalur,2020-02-13,0.0,3.1,3.1,0.44
Ariyalur,2020-02-14,0.0,2.3,3.1,0.44
Ariyalur,2020-02-15,0.0,0.0,3.1,0.44
Ariyalur,2020-02-16,0.0,0.0,3.1,0.44
Ariyalur,2020-02-17,0.1,0.1,3.2,0.46
Ariyalur,2020-02-18,0.0,0.1,2.4,0.34
Ariyalur,2020-02-19,0.0,0.1,0.1,0.01
Ariyalur,2020-02-20,0.0,0.0,0.1,0.01
Ariyalur,2020-02-21,0.2,0.2,0.3,0.04
Ariyalur,2020-02-22,1.8,2.0,2.1,0.3
Ariyalur,2020-02-23,0.0,2.0,2.1,0.3
Ariyalur,2020-02-24,0.0,1.8,2.0,0.29
Ariyalur,2020-02-25,0.0,0.0,2.0,0.29
Ariyalur,2020-02-26,0.0,0.0,2.0,0.29
Ariyalur,2020-02-27,0.0,0.0,2.0,0.29
Ariyalur,2020-02-28,1.5,1.5,3.3,0.47
Ariyalur,2020-02-29,0.0,1.5,1.5,0.21
Ariyalur,2020-03-01,0.0,1.5,1.5,0.21
Ariyalur,2020-03-02,0.0,0.0,1.5,0.21
Ariyalur,2020-03-03,0.0,0.0,1.5,0.21
Ariyalur,2020-03-04,0.0,0.0,1.5,0.21
Ariyalur,2020-03-05,0.0,0.0,1.5,0.21
Ariyalur,2020-03-06,0.2,0.2,0.2,0.03
Ariyalur,2020-03-07,2.7,2.9,2.9,0.41
Ariyalur,2020-03-08,1.3,4.2,4.2,0.6
Ariyalur,2020-03-09,0.0,4.0,4.2,0.6
Ariyalur,2020-03-10,0.0,1.3,4.2,0.6
Ariyalur,2020-03-11,0.1,0.1,4.3,0.61
Ariyalur,2020-03-12,0.0,0.1,4.3,0.61
Ariyalur,2020-03-13,0.0,0.1,4.1,0.59
Ariyalur,2020-03-14,0.0,0.0,1.4,0.2
Ariyalur,2020-03-15,0.3,0.3,0.4,0.06
Ariyalur,2020-03-16,0.2,0.5,0.6,0.09
Ariyalur,2020-03-17,0.0,0.5,0.6,0.09
Ariyalur,2020-03-18,0.0,0.2,0.5,0.07
Ariyalur,2020-03-19,0.0,0.0,0.5,0.07
Ariyalur,2020-03-20,0.0,0.0,0.5,0.07
Ariyalur,2020-03-21,0.2,0.2,0.7,0.1
Ariyalur,2020-03-22,0.0,0.2,0.4,0.06
Ariyalur,2020-03-23,0.0,0.2,0.2,0.03
Ariyalur,2020-03-24,0.0,0.0,0.2,0.03
Ariyalur,2020-03-25,0.1,0.1,0.3,0.04
Ariyalur,2020-03-26,0.0,0.1,0.3,0.04
Ariyalur,2020-03-27,0.0,0.1,0.3,0.04
Ariyalur,2020-03-28,0.0,0.0,0.1,0.01
Ariyalur,2020-03-29,0.0,0.0,0.1,0.01
Ariyalur,2020-03-30,0.0,0.0,0.1,0.01
Ariyalur,2020-03-31,0.0,0.0,0.1,0.01
Ariyalur,2020-04-01,0.0,0.0,0.0,0.0
Ariyalur,2020-04-02,0.0,0.0,0.0,0.0
Ariyalur,2020-04-03,0.1,0.1,0.1,0.01
Ariyalur,2020-04-04,0.0,0.1,0.1,0.01
Ariyalur,2020-04-05,0.7,0.8,0.8,0.11
Ariyalur,2020-04-06,0.7,1.4,1.5,0.21
Ariyalur,2020-04-07,0.9,2.3,2.4,0.34
Ariyalur,2020-04-08,3.5,5.1,5.9,0.84
Ariyalur,2020-04-09,5.6,10.0,11.5,1.64
Ariyalur,2020-04-10,0.2,9.3,11.6,1.66
Ariyalur,2020-04-11,0.2,6.0,11.8,1.69
Ariyalur,2020-04-12,0.0,0.4,11.1,1.59
Ariyalur,2020-04-13,0.0,0.2,10.4,1.49
Ariyalur,2020-04-14,0.1,0.1,9.6,1.37
Ariyalur,2020-04-15,0.0,0.1,6.1,0.87
Ariyalur,2020-04-16,0.2,0.3,0.7,0.1
Ariyalur,2020-04-17,1.4,1.6,1.9,0.27
Ariyalur,2020-04-18,1.5,3.1,3.2,0.46
Ariyalur,2020-04-19,1.4,4.3,4.6,0.66
Ariyalur,2020-04-20,0.7,3.6,5.3,0.76
Ariyalur,2020-04-21,0.0,2.1,5.2,0.74
Ariyalur,2020-04-22,0.4,1.1,5.6,0.8
Ariyalur,2020-04-23,0.0,0.4,5.4,0.77
Ariyalur,2020-04-24,0.4,0.8,4.4,0.63
Ariyalur,2020-04-25,0.0,0.4,2.9,0.41
Ariyalur,2020-04-26,6.5,6.9,8.0,1.14
